Driver,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,Compound,Team,Deleted,Season,Race
TSU,95.096,1.0,1.0,,36.255,22.864,MEDIUM,AlphaTauri,False,2023,Mexico
VER,99.019,1.0,1.0,,42.414,23.842,SOFT,Red Bull Racing,False,2023,Bahrain
TSU,109.255,1.0,1.0,,42.462,34.868,MEDIUM,AlphaTauri,False,2023,United States
PIA,111.927,1.0,1.0,,46.249,28.945,MEDIUM,McLaren,False,2023,Singapore
GAS,108.429,1.0,1.0,,41.792,35.191,MEDIUM,Alpine,False,2023,United States
PIA,93.07,1.0,1.0,,39.733,22.494,HARD,McLaren,False,2023,Monaco
RUS,98.651,1.0,1.0,,38.881,25.997,SOFT,Mercedes,False,2023,Great Britain
ALO,103.608,1.0,1.0,,43.884,24.561,SOFT,Aston Martin,False,2023,Bahrain
SAI,112.645,1.0,1.0,,43.87,25.57,MEDIUM,Ferrari,False,2023,Azerbaijan
ALO,84.892,1.0,1.0,,25.329,31.639,MEDIUM,Aston Martin,False,2023,Canada
LEC,88.596,1.0,1.0,,26.469,31.936,MEDIUM,Ferrari,False,2023,Canada
ALB,93.136,1.0,1.0,,35.677,22.298,HARD,Williams,False,2023,Mexico
OCO,86.367,1.0,1.0,,25.75,31.834,MEDIUM,Alpine,False,2023,Canada
HUL,107.339,1.0,1.0,,45.924,24.741,SOFT,Haas F1 Team,False,2023,Bahrain
RIC,149.416,1.0,1.0,,71.688,43.918,SOFT,AlphaTauri,False,2023,Brazil
LAW,110.934,1.0,1.0,,46.612,28.877,MEDIUM,AlphaTauri,False,2023,Singapore
ALO,112.441,1.0,1.0,,40.749,34.387,MEDIUM,Aston Martin,False,2023,United States
MAG,111.572,1.0,1.0,,41.501,35.029,MEDIUM,Haas F1 Team,False,2023,United States
RUS,93.241,1.0,1.0,,28.82,30.679,SOFT,Mercedes,False,2023,Netherlands
ZHO,108.467,1.0,1.0,,45.972,24.736,SOFT,Alfa Romeo,False,2023,Bahrain
MAG,111.572,1.0,1.0,,41.501,35.029,MEDIUM,Haas F1 Team,False,2023,United States
SAI,127.963,1.0,1.0,,56.733,32.606,MEDIUM,Ferrari,False,2023,Japan
RIC,109.807,1.0,1.0,,42.448,34.937,MEDIUM,AlphaTauri,False,2023,United States
HAM,105.023,1.0,1.0,,42.982,28.538,MEDIUM,Mercedes,False,2023,Singapore
GAS,91.942,1.0,1.0,,34.897,22.258,MEDIUM,Alpine,False,2023,Mexico
PIA,106.169,1.0,1.0,,41.844,34.467,MEDIUM,McLaren,False,2023,United States
GAS,103.893,1.0,1.0,,29.821,38.852,SOFT,Alpine,False,2023,Netherlands
BOT,97.804,1.0,1.0,,29.254,32.586,SOFT,Alfa Romeo,False,2023,Netherlands
ZHO,96.733,1.0,1.0,,34.025,24.426,MEDIUM,Alfa Romeo,False,2023,Hungary
OCO,105.967,1.0,1.0,,45.213,24.698,SOFT,Alpine,False,2023,Bahrain
HAM,113.406,1.0,1.0,,43.889,25.759,MEDIUM,Mercedes,False,2023,Azerbaijan
VER,97.167,1.0,1.0,,38.051,26.073,MEDIUM,Red Bull Racing,False,2023,Great Britain
SAI,99.413,1.0,1.0,,30.452,30.407,MEDIUM,Ferrari,False,2023,Saudi Arabia
BOT,104.975,1.0,1.0,,40.871,27.112,HARD,Alfa Romeo,False,2023,Great Britain
RUS,120.809,1.0,1.0,,52.141,30.584,MEDIUM,Mercedes,False,2023,Belgium
RUS,89.339,1.0,1.0,,30.358,28.7,MEDIUM,Mercedes,False,2023,Italy
