Driver,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,Compound,Team,Deleted,Season,Race
COL,101.677,1.0,1.0,,39.913,36.612,MEDIUM,Alpine,False,2025,United Arab Emirates
HAM,86.869,1.0,1.0,,41.634,17.521,SOFT,Ferrari,False,2025,Brazil
COL,107.783,1.0,1.0,,33.757,50.852,SOFT,Alpine,False,2025,Austria
NOR,84.658,1.0,1.0,,32.807,24.069,SOFT,McLaren,False,2025,Spain
OCO,90.156,1.0,1.0,,26.562,32.713,HARD,Haas F1 Team,False,2025,Canada
OCO,145.769,1.0,1.0,,26.46,67.938,INTERMEDIATE,Haas F1 Team,False,2025,Australia
TSU,106.739,1.0,1.0,,41.697,34.364,MEDIUM,Red Bull Racing,False,2025,United States
NOR,93.952,1.0,1.0,,38.68,34.027,MEDIUM,McLaren,False,2025,United Arab Emirates
TSU,110.476,1.0,1.0,,40.335,39.397,SOFT,Red Bull Racing,False,2025,Monaco
HAM,108.827,1.0,1.0,,42.254,29.916,INTERMEDIATE,Ferrari,False,2025,United Kingdom
ALB,106.629,1.0,1.0,,44.973,24.627,SOFT,Williams,False,2025,Bahrain
COL,86.77,1.0,1.0,,28.947,23.92,SOFT,Alpine,False,2025,Netherlands
ALO,138.128,1.0,1.0,,34.869,62.039,MEDIUM,Aston Martin,False,2025,Saudi Arabia
NOR,102.447,1.0,1.0,,40.436,33.432,MEDIUM,McLaren,False,2025,United States
PIA,86.141,1.0,1.0,,38.34,21.619,MEDIUM,McLaren,False,2025,Monaco
HAM,95.868,1.0,1.0,,31.236,26.411,SOFT,Ferrari,False,2025,Qatar
LEC,101.677,1.0,1.0,,40.22,33.272,SOFT,Ferrari,False,2025,United States
ALB,105.273,1.0,1.0,,31.861,43.138,MEDIUM,Williams,False,2025,China
NOR,90.12,1.0,1.0,,31.396,23.329,MEDIUM,McLaren,False,2025,Hungary
NOR,87.43,1.0,1.0,,29.911,27.903,MEDIUM,McLaren,False,2025,Italy
OCO,93.184,1.0,1.0,,31.35,29.494,HARD,Haas F1 Team,False,2025,Italy
