Driver,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,Compound,Team,Deleted,Season,Race,rolling_mean,rolling_variance
HAM,91.686,1.0,1.0,,38.189,33.146,MEDIUM,Mercedes,False,2021,Abu Dhabi,,
HAM,88.791,2.0,1.0,17.961,38.053,32.777,MEDIUM,Mercedes,False,2021,Abu Dhabi,,
HAM,88.587,3.0,1.0,18.136,37.86,32.591,MEDIUM,Mercedes,False,2021,Abu Dhabi,,
HAM,88.789,4.0,1.0,18.013,38.111,32.665,MEDIUM,Mercedes,False,2021,Abu Dhabi,,
HAM,88.63,5.0,1.0,18.001,38.137,32.492,MEDIUM,Mercedes,False,2021,Abu Dhabi,89.2966,1.7926023000000086
HAM,88.593,6.0,1.0,17.981,38.201,32.411,MEDIUM,Mercedes,False,2021,Abu Dhabi,88.67800000000001,0.01072499999999246
HAM,88.55,7.0,1.0,17.993,38.122,32.435,MEDIUM,Mercedes,False,2021,Abu Dhabi,88.6298,0.008724699999992643
HAM,88.585,8.0,1.0,18.031,38.157,32.397,MEDIUM,Mercedes,False,2021,Abu Dhabi,88.6294,0.008768299999992894
HAM,88.356,9.0,1.0,18.063,38.148,32.145,MEDIUM,Mercedes,False,2021,Abu Dhabi,88.5428,0.011712699999993605
HAM,88.216,10.0,1.0,17.921,38.146,32.149,MEDIUM,Mercedes,False,2021,Abu Dhabi,88.46,0.02794149999999424
HAM,88.134,11.0,1.0,17.906,37.996,32.232,MEDIUM,Mercedes,False,2021,Abu Dhabi,88.36819999999999,0.03955419999999364
HAM,88.566,12.0,1.0,17.926,38.155,32.485,MEDIUM,Mercedes,False,2021,Abu Dhabi,88.3714,0.04105979999999466
HAM,88.258,13.0,1.0,17.86,38.112,32.286,MEDIUM,Mercedes,False,2021,Abu Dhabi,88.306,0.02752199999999496
HAM,90.253,14.0,1.0,17.828,38.105,34.32,MEDIUM,Mercedes,False,2021,Abu Dhabi,88.68539999999999,0.7946687999999965
HAM,108.755,15.0,2.0,38.381,37.984,32.39,HARD,Mercedes,False,2021,Abu Dhabi,92.7932,80.34426969999994
HAM,87.833,16.0,2.0,17.915,37.863,32.055,HARD,Mercedes,False,2021,Abu Dhabi,92.733,81.06359949999995
HAM,87.78,17.0,2.0,17.84,37.858,32.082,HARD,Mercedes,False,2021,Abu Dhabi,92.57579999999999,82.82478969999998
HAM,87.889,18.0,2.0,17.945,37.658,32.286,HARD,Mercedes,False,2021,Abu Dhabi,92.502,83.64865599999999
HAM,88.232,19.0,2.0,17.832,37.861,32.539,HARD,Mercedes,False,2021,Abu Dhabi,92.0978,86.73815870000001
HAM,93.443,20.0,2.0,17.991,39.318,36.134,HARD,Mercedes,False,2021,Abu Dhabi,89.03540000000001,6.102104300000196
HAM,90.485,21.0,2.0,19.193,39.228,32.064,HARD,Mercedes,False,2021,Abu Dhabi,89.5658,5.914342700000165
HAM,88.006,22.0,2.0,17.866,37.904,32.236,HARD,Mercedes,False,2021,Abu Dhabi,89.611,5.722762500000161
HAM,87.663,23.0,2.0,17.739,37.762,32.162,HARD,Mercedes,False,2021,Abu Dhabi,89.5658,5.927563700000166
HAM,87.979,24.0,2.0,17.818,37.815,32.346,HARD,Mercedes,False,2021,Abu Dhabi,89.5152,6.109091200000168
HAM,87.87,25.0,2.0,17.823,37.765,32.282,HARD,Mercedes,False,2021,Abu Dhabi,88.4006,1.375942300000228
