Driver,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,Compound,Team,Deleted,Season,Race
LAW,108.974,1.0,1.0,,41.757,34.744,HARD,RB,False,2024,United States
LEC,99.663,1.0,1.0,,38.818,25.95,MEDIUM,Ferrari,False,2024,United Kingdom
PIA,114.248,1.0,1.0,,50.48,29.643,MEDIUM,McLaren,False,2024,Belgium
HUL,107.041,1.0,1.0,,31.163,45.012,MEDIUM,Haas F1 Team,False,2024,China
ALO,92.411,1.0,1.0,,32.154,29.198,MEDIUM,Aston Martin,False,2024,Italy
MAG,110.409,1.0,1.0,,45.151,28.541,HARD,Haas F1 Team,False,2024,Singapore
STR,92.835,1.0,1.0,,18.589,37.079,MEDIUM,Aston Martin,False,2024,Australia
HAM,112.7,1.0,1.0,,49.406,29.478,MEDIUM,Mercedes,False,2024,Belgium
RUS,103.723,1.0,1.0,,31.645,37.671,INTERMEDIATE,Mercedes,False,2024,Canada
LEC,110.826,1.0,1.0,,45.457,32.657,MEDIUM,Ferrari,False,2024,Mexico
BOT,121.807,1.0,1.0,,33.943,42.199,INTERMEDIATE,Kick Sauber,False,2024,Canada
SAI,100.62,1.0,1.0,,42.861,23.765,SOFT,Ferrari,False,2024,Bahrain
SAI,117.663,1.0,1.0,,34.294,41.495,INTERMEDIATE,Ferrari,False,2024,Canada
OCO,108.897,1.0,1.0,,32.258,45.021,MEDIUM,Alpine,False,2024,China
SAI,89.345,1.0,1.0,,30.635,28.727,MEDIUM,Ferrari,False,2024,Italy
RUS,99.228,1.0,1.0,,42.099,23.694,SOFT,Mercedes,False,2024,Bahrain
HAM,99.884,1.0,1.0,,40.695,34.848,HARD,Mercedes,False,2024,United Arab Emirates
ALB,115.787,1.0,1.0,,34.411,40.356,INTERMEDIATE,Williams,False,2024,Canada
BOT,110.705,1.0,1.0,,41.68,35.352,MEDIUM,Kick Sauber,False,2024,United States
RUS,82.568,1.0,1.0,,31.805,23.82,SOFT,Mercedes,False,2024,Spain
RUS,111.647,1.0,1.0,,41.177,34.482,HARD,Mercedes,False,2024,United States
RIC,105.668,1.0,1.0,,43.159,24.451,SOFT,RB,False,2024,Bahrain
VER,101.657,1.0,1.0,,40.291,33.295,MEDIUM,Red Bull Racing,False,2024,United States
PIA,86.746,1.0,1.0,,29.625,23.513,MEDIUM,McLaren,False,2024,Hungary
MAG,93.931,1.0,1.0,,32.021,30.142,MEDIUM,Haas F1 Team,False,2024,Italy
MAG,90.772,1.0,1.0,,27.238,23.45,HARD,Haas F1 Team,False,2024,Netherlands
TSU,103.485,1.0,1.0,,43.842,24.345,SOFT,RB,False,2024,Bahrain
OCO,77.703,1.0,1.0,,33.038,22.071,MEDIUM,Alpine,False,2024,Austria
STR,107.73,1.0,1.0,,31.755,44.716,SOFT,Aston Martin,False,2024,China
HAM,108.064,1.0,1.0,,42.336,34.43,HARD,Mercedes,False,2024,United States
SAI,102.273,1.0,1.0,,39.891,33.748,MEDIUM,Ferrari,False,2024,United States
PIA,133.443,1.0,1.0,,62.716,33.97,MEDIUM,McLaren,False,2024,Mexico
NOR,80.878,1.0,1.0,,27.269,22.935,MEDIUM,McLaren,False,2024,Netherlands
SAR,91.507,1.0,1.0,,34.997,25.251,SOFT,Williams,False,2024,Spain
BOT,100.183,1.0,1.0,,41.546,35.018,MEDIUM,Kick Sauber,False,2024,United Arab Emirates
OCO,116.745,1.0,1.0,,40.494,33.56,MEDIUM,Alpine,False,2024,United States
TSU,90.324,1.0,1.0,,34.259,25.296,SOFT,RB,False,2024,Spain
VER,99.51,1.0,1.0,,39.931,34.944,MEDIUM,Red Bull Racing,False,2024,United Arab Emirates
ZHO,121.121,1.0,1.0,,53.899,29.79,HARD,Kick Sauber,False,2024,Belgium
RUS,114.763,1.0,1.0,,51.125,29.496,MEDIUM,Mercedes,False,2024,Belgium
VER,115.49,1.0,1.0,,44.61,25.791,MEDIUM,Red Bull Racing,False,2024,Azerbaijan
HUL,107.084,1.0,1.0,,41.481,34.54,MEDIUM,Haas F1 Team,False,2024,United States
TSU,102.007,1.0,1.0,,40.017,36.49,MEDIUM,RB,False,2024,United Arab Emirates
PIA,102.523,1.0,1.0,,43.573,24.14,SOFT,McLaren,False,2024,Bahrain
LAW,120.936,1.0,1.0,,54.381,32.093,HARD,RB,False,2024,Mexico
HUL,107.084,1.0,1.0,,41.481,34.54,MEDIUM,Haas F1 Team,False,2024,United States
TSU,167.566,1.0,1.0,,83.186,44.247,MEDIUM,RB,False,2024,Japan
HAM,2483.804,1.0,1.0,,52.196,,HARD,Mercedes,False,2024,Monaco
BOT,80.918,1.0,1.0,,33.727,23.487,MEDIUM,Kick Sauber,False,2024,Austria
RUS,111.647,1.0,1.0,,41.177,34.482,HARD,Mercedes,False,2024,United States
ALB,103.888,1.0,1.0,,44.007,24.378,SOFT,Williams,False,2024,Bahrain
HUL,113.555,1.0,1.0,,45.619,27.692,SOFT,Haas F1 Team,False,2024,Bahrain
LEC,97.644,1.0,1.0,,39.256,34.12,MEDIUM,Ferrari,False,2024,United Arab Emirates
BOT,90.001,1.0,1.0,,34.187,25.492,SOFT,Kick Sauber,False,2024,Spain
NOR,134.751,1.0,1.0,,65.666,32.333,MEDIUM,McLaren,False,2024,Japan
ALO,106.421,1.0,1.0,,41.46,34.098,MEDIUM,Aston Martin,False,2024,United States
RIC,110.255,1.0,1.0,,32.624,45.451,MEDIUM,RB,False,2024,China
HAM,89.674,1.0,1.0,,30.629,28.773,MEDIUM,Mercedes,False,2024,Italy
PIA,103.757,1.0,1.0,,40.179,33.61,MEDIUM,McLaren,False,2024,United Arab Emirates
RIC,79.507,1.0,1.0,,33.695,23.036,MEDIUM,RB,False,2024,Austria
PER,100.053,1.0,1.0,,42.61,23.856,SOFT,Red Bull Racing,False,2024,Bahrain
LEC,90.52,1.0,1.0,,18.405,36.383,MEDIUM,Ferrari,False,2024,Australia
NOR,113.635,1.0,1.0,,31.553,46.998,MEDIUM,McLaren,False,2024,Qatar
RIC,93.104,1.0,1.0,,32.159,29.497,MEDIUM,RB,False,2024,Italy
VER,111.344,1.0,1.0,,29.908,47.019,MEDIUM,Red Bull Racing,False,2024,Qatar
MAG,129.92,1.0,1.0,,49.468,41.81,MEDIUM,Haas F1 Team,False,2024,Qatar
HUL,120.156,1.0,1.0,,53.595,29.837,MEDIUM,Haas F1 Team,False,2024,Belgium
LEC,96.681,1.0,1.0,,29.838,29.664,MEDIUM,Ferrari,False,2024,Saudi Arabia
TSU,80.095,1.0,1.0,,33.576,23.153,MEDIUM,RB,False,2024,Austria
RIC,123.929,1.0,1.0,,48.316,26.084,HARD,RB,False,2024,Azerbaijan
RUS,91.91,1.0,1.0,,18.46,36.821,MEDIUM,Mercedes,False,2024,Australia
RUS,2473.884,1.0,1.0,,49.669,,HARD,Mercedes,False,2024,Monaco
SAI,107.224,1.0,1.0,,41.495,33.841,MEDIUM,Ferrari,False,2024,Mexico
HAM,103.122,1.0,1.0,,43.609,24.393,SOFT,Mercedes,False,2024,Bahrain
RUS,94.679,1.0,1.0,,38.837,33.002,MEDIUM,Mercedes,False,2024,United Arab Emirates
SAR,101.772,1.0,1.0,,39.579,26.481,MEDIUM,Williams,False,2024,United Kingdom
LEC,88.179,1.0,1.0,,29.989,28.398,MEDIUM,Ferrari,False,2024,Italy
PIA,87.623,1.0,1.0,,30.021,28.254,MEDIUM,McLaren,False,2024,Italy
TSU,105.613,1.0,1.0,,40.939,34.054,MEDIUM,RB,False,2024,United States
NOR,102.168,1.0,1.0,,43.309,24.244,SOFT,McLaren,False,2024,Bahrain
ALO,106.384,1.0,1.0,,43.728,28.456,MEDIUM,Aston Martin,False,2024,Singapore
GAS,98.598,1.0,1.0,,33.027,24.571,HARD,Alpine,False,2024,Hungary
RUS,114.932,1.0,1.0,,50.02,31.727,MEDIUM,Mercedes,False,2024,Mexico
NOR,102.168,1.0,1.0,,43.309,24.244,SOFT,McLaren,False,2024,Bahrain
PIA,108.458,1.0,1.0,,32.667,38.433,INTERMEDIATE,McLaren,False,2024,Canada
HAM,111.502,1.0,1.0,,32.87,45.826,SOFT,Mercedes,False,2024,China
NOR,102.902,1.0,1.0,,40.066,33.837,MEDIUM,McLaren,False,2024,United States
MAG,103.681,1.0,1.0,,40.01,26.573,MEDIUM,Haas F1 Team,False,2024,United Kingdom
RUS,116.42,1.0,1.0,,45.226,25.606,MEDIUM,Mercedes,False,2024,Azerbaijan
BOT,130.545,1.0,1.0,,60.814,33.795,HARD,Kick Sauber,False,2024,Mexico
HUL,86.432,1.0,1.0,,28.857,24.065,MEDIUM,Haas F1 Team,False,2024,Netherlands
HAM,103.122,1.0,1.0,,43.609,24.393,SOFT,Mercedes,False,2024,Bahrain
ALO,84.726,1.0,1.0,,28.36,23.431,MEDIUM,Aston Martin,False,2024,Netherlands
ZHO,2526.253,1.0,1.0,,49.767,,MEDIUM,Kick Sauber,False,2024,Monaco
BOT,96.375,1.0,1.0,,32.75,30.44,HARD,Kick Sauber,False,2024,Italy
HAM,96.034,1.0,1.0,,37.703,25.484,MEDIUM,Mercedes,False,2024,United Kingdom
SAR,105.46,1.0,1.0,,31.169,30.765,MEDIUM,Williams,False,2024,Saudi Arabia
SAR,122.19,1.0,1.0,,54.416,30.121,MEDIUM,Williams,False,2024,Belgium
LEC,99.987,1.0,1.0,,39.463,32.844,MEDIUM,Ferrari,False,2024,United States
BOT,164.736,1.0,1.0,,81.589,43.219,SOFT,Kick Sauber,False,2024,Japan
RUS,99.228,1.0,1.0,,42.099,23.694,SOFT,Mercedes,False,2024,Bahrain
OCO,87.46,1.0,1.0,,33.453,24.543,SOFT,Alpine,False,2024,Spain
MAG,185.172,1.0,1.0,,88.402,55.147,MEDIUM,Haas F1 Team,False,2024,Japan
OCO,109.927,1.0,1.0,,45.069,28.453,MEDIUM,Alpine,False,2024,Singapore
ALO,2513.184,1.0,1.0,,60.893,,HARD,Aston Martin,False,2024,Monaco
GAS,98.052,1.0,1.0,,49.014,18.503,INTERMEDIATE,Alpine,False,2024,Brazil
LEC,154.543,1.0,1.0,,77.828,37.701,MEDIUM,Ferrari,False,2024,Japan
TSU,105.613,1.0,1.0,,40.939,34.054,MEDIUM,RB,False,2024,United States
ALB,111.269,1.0,1.0,,41.668,35.637,MEDIUM,Williams,False,2024,United States
NOR,97.347,1.0,1.0,,38.34,25.641,MEDIUM,McLaren,False,2024,United Kingdom
VER,96.711,1.0,1.0,,37.975,25.708,MEDIUM,Red Bull Racing,False,2024,United Kingdom
STR,102.429,1.0,1.0,,30.865,30.889,MEDIUM,Aston Martin,False,2024,Saudi Arabia
STR,108.52,1.0,1.0,,42.404,34.573,HARD,Aston Martin,False,2024,United States
ZHO,110.671,1.0,1.0,,32.9,45.321,MEDIUM,Kick Sauber,False,2024,China
MAG,78.826,1.0,1.0,,33.235,22.632,MEDIUM,Haas F1 Team,False,2024,Austria
PER,76.225,1.0,1.0,,32.476,21.802,MEDIUM,Red Bull Racing,False,2024,Austria
OCO,95.432,1.0,1.0,,32.145,30.978,HARD,Alpine,False,2024,Italy
COL,107.696,1.0,1.0,,44.068,28.605,MEDIUM,Williams,False,2024,Singapore
PER,83.931,1.0,1.0,,28.326,23.345,MEDIUM,Red Bull Racing,False,2024,Netherlands
SAI,85.474,1.0,1.0,,28.354,23.757,MEDIUM,Ferrari,False,2024,Netherlands
ZHO,102.75,1.0,1.0,,50.53,19.352,INTERMEDIATE,Kick Sauber,False,2024,Brazil
RUS,74.401,1.0,1.0,,32.359,21.359,MEDIUM,Mercedes,False,2024,Austria
NOR,73.371,1.0,1.0,,31.567,21.097,MEDIUM,McLaren,False,2024,Austria
LAW,108.974,1.0,1.0,,41.757,34.744,HARD,RB,False,2024,United States
SAI,114.797,1.0,1.0,,44.326,25.742,MEDIUM,Ferrari,False,2024,Azerbaijan
VER,79.915,1.0,1.0,,26.881,22.957,MEDIUM,Red Bull Racing,False,2024,Netherlands
GAS,121.453,1.0,1.0,,36.134,40.034,MEDIUM,Alpine,False,2024,Saudi Arabia
PER,97.222,1.0,1.0,,29.831,29.801,MEDIUM,Red Bull Racing,False,2024,Saudi Arabia
PIA,91.036,1.0,1.0,,18.346,36.65,MEDIUM,McLaren,False,2024,Australia
