Driver,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,Compound,Team,Deleted,Season,Race,rolling_mean,rolling_variance
HAM,91.686,1.0,1.0,,38.189,33.146,MEDIUM,Mercedes,False,2021,Abu Dhabi,,
HAM,91.686,1.0,1.0,,38.189,33.146,MEDIUM,Mercedes,False,2021,Abu Dhabi,,
HAM,88.791,2.0,1.0,17.961,38.053,32.777,MEDIUM,Mercedes,False,2021,Abu Dhabi,,
HAM,88.791,2.0,1.0,17.961,38.053,32.777,MEDIUM,Mercedes,False,2021,Abu Dhabi,,
HAM,88.587,3.0,1.0,18.136,37.86,32.591,MEDIUM,Mercedes,False,2021,Abu Dhabi,89.9082,2.640746700000016
HAM,88.587,3.0,1.0,18.136,37.86,32.591,MEDIUM,Mercedes,False,2021,Abu Dhabi,89.2884,1.8068058000000173
HAM,88.789,4.0,1.0,18.013,38.111,32.665,MEDIUM,Mercedes,False,2021,Abu Dhabi,88.709,0.012404000000019464
HAM,88.789,4.0,1.0,18.013,38.111,32.665,MEDIUM,Mercedes,False,2021,Abu Dhabi,88.7086,0.012322800000019656
HAM,88.63,5.0,1.0,18.001,38.137,32.492,MEDIUM,Mercedes,False,2021,Abu Dhabi,88.6764,0.010873800000020119
HAM,88.63,5.0,1.0,18.001,38.137,32.492,MEDIUM,Mercedes,False,2021,Abu Dhabi,88.685,0.009321500000020402
HAM,88.593,6.0,1.0,17.981,38.201,32.411,MEDIUM,Mercedes,False,2021,Abu Dhabi,88.6862,0.009034700000020306
HAM,88.593,6.0,1.0,17.981,38.201,32.411,MEDIUM,Mercedes,False,2021,Abu Dhabi,88.647,0.006643500000020151
HAM,88.55,7.0,1.0,17.993,38.122,32.435,MEDIUM,Mercedes,False,2021,Abu Dhabi,88.5992,0.0010987000000208331
HAM,88.55,7.0,1.0,17.993,38.122,32.435,MEDIUM,Mercedes,False,2021,Abu Dhabi,88.5832,0.0011467000000212866
HAM,88.585,8.0,1.0,18.031,38.157,32.397,MEDIUM,Mercedes,False,2021,Abu Dhabi,88.57419999999999,0.0004987000000215572
HAM,88.585,8.0,1.0,18.031,38.157,32.397,MEDIUM,Mercedes,False,2021,Abu Dhabi,88.5726,0.00043630000002147927
HAM,88.356,9.0,1.0,18.063,38.148,32.145,MEDIUM,Mercedes,False,2021,Abu Dhabi,88.5252,0.009252700000023123
HAM,88.356,9.0,1.0,18.063,38.148,32.145,MEDIUM,Mercedes,False,2021,Abu Dhabi,88.4864,0.014374300000025134
HAM,88.216,10.0,1.0,17.921,38.146,32.149,MEDIUM,Mercedes,False,2021,Abu Dhabi,88.41959999999999,0.02606430000002838
HAM,88.216,10.0,1.0,17.921,38.146,32.149,MEDIUM,Mercedes,False,2021,Abu Dhabi,88.3458,0.022780200000032398
HAM,88.134,11.0,1.0,17.906,37.996,32.232,MEDIUM,Mercedes,False,2021,Abu Dhabi,88.2556,0.009520800000036043
HAM,88.134,11.0,1.0,17.906,37.996,32.232,MEDIUM,Mercedes,False,2021,Abu Dhabi,88.2112,0.0082332000000382
HAM,88.566,12.0,1.0,17.926,38.155,32.485,MEDIUM,Mercedes,False,2021,Abu Dhabi,88.2532,0.03225720000003684
HAM,88.566,12.0,1.0,17.926,38.155,32.485,MEDIUM,Mercedes,False,2021,Abu Dhabi,88.3232,0.050247200000032466
HAM,88.258,13.0,1.0,17.86,38.112,32.286,MEDIUM,Mercedes,False,2021,Abu Dhabi,88.33160000000001,0.04834880000003155
HAM,88.258,13.0,1.0,17.86,38.112,32.286,MEDIUM,Mercedes,False,2021,Abu Dhabi,88.3564,0.03917280000003038
HAM,90.253,14.0,1.0,17.828,38.105,34.32,MEDIUM,Mercedes,False,2021,Abu Dhabi,88.78020000000001,0.7015722000000042
HAM,90.253,14.0,1.0,17.828,38.105,34.32,MEDIUM,Mercedes,False,2021,Abu Dhabi,89.1176,1.0900882999999866
HAM,108.755,15.0,2.0,38.381,37.984,32.39,HARD,Mercedes,False,2021,Abu Dhabi,93.15539999999999,77.04110629999977
HAM,108.755,15.0,2.0,38.381,37.984,32.39,HARD,Mercedes,False,2021,Abu Dhabi,97.2548,110.87550419999958
HAM,87.833,16.0,2.0,17.915,37.863,32.055,HARD,Mercedes,False,2021,Abu Dhabi,97.1698,112.82344919999956
HAM,87.833,16.0,2.0,17.915,37.863,32.055,HARD,Mercedes,False,2021,Abu Dhabi,96.6858,122.36405719999959
HAM,87.78,17.0,2.0,17.84,37.858,32.082,HARD,Mercedes,False,2021,Abu Dhabi,96.1912,131.5413601999996
HAM,87.78,17.0,2.0,17.84,37.858,32.082,HARD,Mercedes,False,2021,Abu Dhabi,91.9962,87.76863269999967
HAM,87.889,18.0,2.0,17.945,37.658,32.286,HARD,Mercedes,False,2021,Abu Dhabi,87.82300000000001,0.0020634999997191147
HAM,87.889,18.0,2.0,17.945,37.658,32.286,HARD,Mercedes,False,2021,Abu Dhabi,87.8342,0.0029706999997190977
HAM,88.232,19.0,2.0,17.832,37.861,32.539,HARD,Mercedes,False,2021,Abu Dhabi,87.91399999999999,0.03457149999972093
HAM,88.232,19.0,2.0,17.832,37.861,32.539,HARD,Mercedes,False,2021,Abu Dhabi,88.0044,0.045148299999723016
HAM,93.443,20.0,2.0,17.991,39.318,36.134,HARD,Mercedes,False,2021,Abu Dhabi,89.13699999999999,5.823673499999749
HAM,93.443,20.0,2.0,17.991,39.318,36.134,HARD,Mercedes,False,2021,Abu Dhabi,90.24780000000001,8.52736069999978
HAM,90.485,21.0,2.0,19.193,39.228,32.064,HARD,Mercedes,False,2021,Abu Dhabi,90.767,6.813481499999797
HAM,90.485,21.0,2.0,19.193,39.228,32.064,HARD,Mercedes,False,2021,Abu Dhabi,91.21759999999999,4.973005799999817
HAM,88.006,22.0,2.0,17.866,37.904,32.236,HARD,Mercedes,False,2021,Abu Dhabi,91.1724,5.320593799999819
HAM,88.006,22.0,2.0,17.866,37.904,32.236,HARD,Mercedes,False,2021,Abu Dhabi,90.08500000000001,5.060161499999775
HAM,87.663,23.0,2.0,17.739,37.762,32.162,HARD,Mercedes,False,2021,Abu Dhabi,88.929,2.0372214999997302
HAM,87.663,23.0,2.0,17.739,37.762,32.162,HARD,Mercedes,False,2021,Abu Dhabi,88.3646,1.4344422999997208
HAM,87.979,24.0,2.0,17.818,37.815,32.346,HARD,Mercedes,False,2021,Abu Dhabi,87.8634,0.03358829999971451
HAM,87.979,24.0,2.0,17.818,37.815,32.346,HARD,Mercedes,False,2021,Abu Dhabi,87.858,0.03180899999971473
HAM,87.87,25.0,2.0,17.823,37.765,32.282,HARD,Mercedes,False,2021,Abu Dhabi,87.8308,0.025444199999714125
HAM,87.87,25.0,2.0,17.823,37.765,32.282,HARD,Mercedes,False,2021,Abu Dhabi,87.87219999999999,0.016646699999715475
HAM,88.077,26.0,2.0,17.834,38.107,32.136,HARD,Mercedes,False,2021,Abu Dhabi,87.955,0.007621499999715961
HAM,88.077,26.0,2.0,17.834,38.107,32.136,HARD,Mercedes,False,2021,Abu Dhabi,87.9746,0.010718299999716045
HAM,87.975,27.0,2.0,17.837,37.78,32.358,HARD,Mercedes,False,2021,Abu Dhabi,87.97380000000001,0.01071269999971604
HAM,87.975,27.0,2.0,17.837,37.78,32.358,HARD,Mercedes,False,2021,Abu Dhabi,87.9948,0.007468199999716624
HAM,88.143,28.0,2.0,17.893,37.785,32.465,HARD,Mercedes,False,2021,Abu Dhabi,88.04939999999999,0.005338799999717515
HAM,88.143,28.0,2.0,17.893,37.785,32.465,HARD,Mercedes,False,2021,Abu Dhabi,88.0626,0.00712079999971791
HAM,87.484,29.0,2.0,17.802,37.703,31.979,HARD,Mercedes,False,2021,Abu Dhabi,87.94399999999999,0.07318099999971561
HAM,87.484,29.0,2.0,17.802,37.703,31.979,HARD,Mercedes,False,2021,Abu Dhabi,87.84580000000001,0.11378669999971347
HAM,87.508,30.0,2.0,17.714,37.633,32.161,HARD,Mercedes,False,2021,Abu Dhabi,87.7524,0.1272362999997101
HAM,87.508,30.0,2.0,17.714,37.633,32.161,HARD,Mercedes,False,2021,Abu Dhabi,87.6254,0.08386579999970455
HAM,87.495,31.0,2.0,17.788,37.728,31.979,HARD,Mercedes,False,2021,Abu Dhabi,87.4958,0.00014419999969941748
HAM,87.495,31.0,2.0,17.788,37.728,31.979,HARD,Mercedes,False,2021,Abu Dhabi,87.498,0.00010349999969943666
HAM,87.444,32.0,2.0,17.757,37.702,31.985,HARD,Mercedes,False,2021,Abu Dhabi,87.49,0.0007034999996992388
HAM,87.444,32.0,2.0,17.757,37.702,31.985,HARD,Mercedes,False,2021,Abu Dhabi,87.4772,0.0009466999996991909
HAM,87.742,33.0,2.0,17.642,37.863,32.237,HARD,Mercedes,False,2021,Abu Dhabi,87.524,0.015501499999699879
HAM,87.742,33.0,2.0,17.642,37.863,32.237,HARD,Mercedes,False,2021,Abu Dhabi,87.5734,0.02412179999970002
HAM,87.201,34.0,2.0,17.747,37.458,31.996,HARD,Mercedes,False,2021,Abu Dhabi,87.5146,0.052933799999701575
HAM,87.201,34.0,2.0,17.747,37.458,31.996,HARD,Mercedes,False,2021,Abu Dhabi,87.466,0.07332149999970354
HAM,87.591,35.0,2.0,17.721,37.689,32.181,HARD,Mercedes,False,2021,Abu Dhabi,87.49539999999999,0.07602629999970291
HAM,87.591,35.0,2.0,17.721,37.689,32.181,HARD,Mercedes,False,2021,Abu Dhabi,87.46520000000001,0.06196819999970241
HAM,101.467,36.0,2.0,17.702,42.488,41.277,HARD,Mercedes,False,2021,Abu Dhabi,90.2102,39.63663319999978
HAM,101.467,36.0,2.0,17.702,42.488,41.277,HARD,Mercedes,False,2021,Abu Dhabi,93.0634,58.87576079999987
HAM,116.216,37.0,2.0,24.815,49.338,42.063,HARD,Mercedes,False,2021,Abu Dhabi,98.8664,142.2010378
HAM,116.216,37.0,2.0,24.815,49.338,42.063,HARD,Mercedes,False,2021,Abu Dhabi,104.5914,144.70000030000017
HAM,90.157,38.0,2.0,20.798,37.554,31.805,HARD,Mercedes,False,2021,Abu Dhabi,105.10459999999998,124.20535830000016
HAM,90.157,38.0,2.0,20.798,37.554,31.805,HARD,Mercedes,False,2021,Abu Dhabi,102.84259999999999,170.35920630000004
HAM,86.762,39.0,2.0,17.614,37.403,31.745,HARD,Mercedes,False,2021,Abu Dhabi,99.9016,223.72071029999984
